date,day,elapsed_seconds,solved,checked,revealed,streak_eligible,solve_date,first_opened_date
2019-12-13,Fri,1414,0,1,0,0,,2019-12-14
2019-12-18,Wed,2683,1,1,0,0,2019-12-20,2019-12-19
2019-12-19,Thu,4449,0,1,0,0,,2019-12-20
2019-12-20,Fri,140,0,0,0,0,,2019-12-27
2020-01-01,Wed,2302,1,1,0,0,2020-01-04,2020-01-02
2020-01-02,Thu,5047,1,1,0,0,2020-01-06,2020-01-02
2020-01-03,Fri,3411,1,1,0,0,2020-01-09,2020-01-06
2020-01-08,Wed,2613,0,1,0,0,,2020-01-09
2020-01-09,Thu,3711,0,1,0,0,,2020-01-11
2020-01-13,Mon,1473,1,1,0,0,2020-01-14,2020-01-14
2020-01-14,Tue,1352,1,1,0,0,2020-01-15,2020-01-14
2020-01-15,Wed,3816,1,1,0,0,2020-01-17,2020-01-15
2020-01-16,Thu,3992,0,1,0,0,,2020-01-17
2020-01-22,Wed,3407,1,1,0,0,2020-01-23,2020-01-22
2020-01-23,Thu,3622,1,1,0,0,2020-01-26,2020-01-23
2020-01-24,Fri,3601,0,1,0,0,,2020-01-26
2020-01-29,Wed,3391,0,1,0,0,,2020-01-29
2020-01-30,Thu,4408,1,0,0,0,2020-02-04,2020-01-30
2020-01-31,Fri,1805,0,1,0,0,,2020-02-04
2020-02-05,Wed,4312,1,1,1,0,2020-02-06,2020-02-05
2020-02-06,Thu,4469,1,1,0,0,2020-02-07,2020-02-06
2020-02-07,Fri,2560,0,1,0,0,,2020-02-07
2020-02-08,Sat,10,0,0,0,0,,2020-02-08
2020-02-12,Wed,2662,1,1,0,0,2020-02-13,2020-02-12
2020-02-13,Thu,3519,1,1,0,0,2020-02-15,2020-02-13
2020-02-14,Fri,4288,1,1,0,0,2020-02-17,2020-02-15
2020-02-15,Sat,1832,0,1,0,0,,2020-02-17
2020-02-19,Wed,3862,1,1,0,0,2020-02-21,2020-02-19
2020-02-20,Thu,6183,1,1,0,0,2020-03-01,2020-02-21
2020-02-26,Wed,1708,1,1,0,0,2020-03-03,2020-03-01
2020-02-27,Thu,2202,1,0,0,0,2020-03-04,2020-03-03
2020-03-04,Wed,2252,1,0,0,0,2020-03-05,2020-03-04
2020-03-05,Thu,3118,0,1,0,0,,2020-03-04
2020-03-11,Wed,1625,1,0,0,0,2020-03-15,2020-03-13
2020-03-12,Thu,5039,1,1,0,0,2020-03-16,2020-03-15
2020-03-13,Fri,4319,0,1,0,0,,2020-03-16
2020-03-18,Wed,1073,1,0,0,1,2020-03-18,2020-03-17
2020-03-19,Thu,3258,1,1,0,0,2020-03-19,2020-03-18
2020-03-20,Fri,3031,0,1,0,0,,2020-03-19
2020-04-01,Wed,3452,1,1,0,0,2020-04-07,2020-04-05
2020-04-02,Thu,6319,1,1,0,0,2020-04-04,2020-04-03
